Id,Label,tradition,tradition_label,author,work,year,theme,indegree,outdegree,totaldegree
antropo-etica,Antropo-ética,morin,Pensamiento complejo (Morin),Edgar Morin,El Método VI — Ética,2004,Ética,10,5,15
auto-eco-organizacion,Auto-eco-organización,morin,Pensamiento complejo (Morin),Edgar Morin,El Método II — La vida de la Vida,1980,Vida y auto-organización,18,5,23
auto-etica,Auto-ética,morin,Pensamiento complejo (Morin),Edgar Morin,El Método VI — Ética,2004,Ética,3,5,8
bien-pensar,Bien pensar,morin,Pensamiento complejo (Morin),Edgar Morin,El Método VI — Ética,2004,Ética,1,5,6
bucle-tetralogico,Bucle tetralógico,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Organización y sistema,6,5,11
causalidad-circular,Causalidad circular,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Organización y sistema,3,5,8
ceguera-del-conocimiento,Ceguera del conocimiento,morin,Pensamiento complejo (Morin),Edgar Morin,El Método III — El conocimiento del Conocimiento,1986,Conocimiento y cognición,3,5,8
cogito-computante,Cogito computante,morin,Pensamiento complejo (Morin),Edgar Morin,El Método III — El conocimiento del Conocimiento,1986,Conocimiento y cognición,6,5,11
complejidad,Complejidad,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Paradigma y método,4,5,9
comprension,Comprensión,morin,Pensamiento complejo (Morin),Edgar Morin,El Método VI — Ética,2004,Conocimiento y cognición,9,5,14
computacion-viviente,Computación viviente,morin,Pensamiento complejo (Morin),Edgar Morin,El Método II — La vida de la Vida,1980,Vida y auto-organización,3,5,8
conocimiento-del-conocimiento,Conocimiento del conocimiento,morin,Pensamiento complejo (Morin),Edgar Morin,El Método III — El conocimiento del Conocimiento,1986,Conocimiento y cognición,10,5,15
ecologia-de-la-accion,Ecología de la acción,morin,Pensamiento complejo (Morin),Edgar Morin,El Método VI — Ética,2004,Ética,3,5,8
emergencia,Emergencia,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Organización y sistema,9,5,14
error-e-ilusion,Error e ilusión,morin,Pensamiento complejo (Morin),Edgar Morin,El Método III — El conocimiento del Conocimiento,1986,Paradigma y método,7,5,12
homo-complexus,Homo complexus,morin,Pensamiento complejo (Morin),Edgar Morin,El Método V — La humanidad de la Humanidad,2001,Humanidad y sociedad,9,5,14
homo-sapiens-demens,Homo sapiens/demens,morin,Pensamiento complejo (Morin),Edgar Morin,El Método V — La humanidad de la Humanidad,2001,Humanidad y sociedad,4,5,9
idea-como-ser-viviente,Idea (como ser viviente),morin,Pensamiento complejo (Morin),Edgar Morin,El Método IV — Las ideas,1991,Ideas y noosfera,3,5,8
incertidumbre,Incertidumbre,morin,Pensamiento complejo (Morin),Edgar Morin,El Método III — El conocimiento del Conocimiento,1986,Conocimiento y cognición,5,5,10
maquina-viviente,Máquina viviente,morin,Pensamiento complejo (Morin),Edgar Morin,El Método II — La vida de la Vida,1980,Vida y auto-organización,7,5,12
metodo,Método,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Paradigma y método,4,5,9
mito-y-pensamiento-simbolico,Mito y pensamiento simbólico,morin,Pensamiento complejo (Morin),Edgar Morin,El Método IV — Las ideas,1991,Ideas y noosfera,3,5,8
noosfera,Noosfera,morin,Pensamiento complejo (Morin),Edgar Morin,El Método IV — Las ideas,1991,Ideas y noosfera,3,5,8
orden---desorden,Orden / Desorden,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Organización y sistema,4,5,9
organizacion,Organización,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Organización y sistema,10,5,15
paradigma,Paradigma,morin,Pensamiento complejo (Morin),Edgar Morin,El Método IV — Las ideas,1991,Ideas y noosfera,3,5,8
paradigma-de-simplificacion,Paradigma de simplificación,morin,Pensamiento complejo (Morin),Edgar Morin,El Método IV — Las ideas,1991,Paradigma y método,3,5,8
pensamiento-complejo,Pensamiento complejo,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Paradigma y método,10,5,15
principio-de-recursividad-organizacional,Principio de recursividad organizacional,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Principios del pensamiento complejo,3,5,8
principio-dialogico,Principio dialógico,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Principios del pensamiento complejo,6,5,11
principio-hologramatico,Principio hologramático,morin,Pensamiento complejo (Morin),Edgar Morin,El Método III — El conocimiento del Conocimiento,1986,Principios del pensamiento complejo,3,5,8
reforma-del-pensamiento,Reforma del pensamiento,morin,Pensamiento complejo (Morin),Edgar Morin,El Método V — La humanidad de la Humanidad,2001,Paradigma y método,15,5,20
regeneracion-etica,Regeneración ética,morin,Pensamiento complejo (Morin),Edgar Morin,El Método VI — Ética,2004,Ética,3,5,8
reliance,Reliance,morin,Pensamiento complejo (Morin),Edgar Morin,El Método V — La humanidad de la Humanidad,2001,Vida y auto-organización,4,5,9
sistema-abierto,Sistema abierto,morin,Pensamiento complejo (Morin),Edgar Morin,El Método I — La naturaleza de la Naturaleza,1977,Organización y sistema,11,5,16
socio-etica,Socio-ética,morin,Pensamiento complejo (Morin),Edgar Morin,El Método VI — Ética,2004,Ética,4,5,9
sujeto,Sujeto,morin,Pensamiento complejo (Morin),Edgar Morin,El Método II — La vida de la Vida,1980,Sujeto y subjetividad,13,5,18
tierra-patria,Tierra-Patria,morin,Pensamiento complejo (Morin),Edgar Morin,El Método V — La humanidad de la Humanidad,2001,Humanidad y sociedad,9,5,14
trinidad-cognitiva-cerebro-mente-cultura,Trinidad cognitiva (cerebro-mente-cultura),morin,Pensamiento complejo (Morin),Edgar Morin,El Método III — El conocimiento del Conocimiento,1986,Conocimiento y cognición,4,5,9
trinidad-humana-individuo-sociedad-especie,Trinidad humana (individuo-sociedad-especie),morin,Pensamiento complejo (Morin),Edgar Morin,El Método V — La humanidad de la Humanidad,2001,Humanidad y sociedad,6,5,11
autopoiesis,Autopoiesis,autopoiesis,Autopoiesis,Humberto Maturana & Francisco Varela,El árbol del conocimiento,1984,Organización del vivo,12,4,16
clausura-operacional,Clausura operacional,autopoiesis,Autopoiesis,Humberto Maturana & Francisco Varela,El árbol del conocimiento,1984,Organización del vivo,7,3,10
acoplamiento-estructural,Acoplamiento estructural,autopoiesis,Autopoiesis,Humberto Maturana & Francisco Varela,El árbol del conocimiento,1984,Acoplamiento y cognición,9,4,13
deriva-natural,Deriva natural,autopoiesis,Autopoiesis,Humberto Maturana & Francisco Varela,El árbol del conocimiento,1984,Evolución y devenir,3,2,5
todo-hacer-es-conocer,Todo hacer es conocer,autopoiesis,Autopoiesis,Humberto Maturana & Francisco Varela,El árbol del conocimiento,1984,Acoplamiento y cognición,1,3,4
enaccion,Enacción,embodied,Cognición encarnada,"Francisco Varela, Evan Thompson & Eleanor Rosch",The Embodied Mind,1991,Cognición encarnada,3,4,7
accion-encarnada,Acción encarnada,embodied,Cognición encarnada,"Francisco Varela, Evan Thompson & Eleanor Rosch",The Embodied Mind,1991,Cognición encarnada,6,3,9
sin-yo,Sin yo (Selfless mind),embodied,Cognición encarnada,"Francisco Varela, Evan Thompson & Eleanor Rosch",The Embodied Mind,1991,Consciencia y experiencia,3,4,7
camino-medio,Camino medio,embodied,Cognición encarnada,"Francisco Varela, Evan Thompson & Eleanor Rosch",The Embodied Mind,1991,Cognición encarnada,2,3,5
hacer-camino-al-andar,Hacer camino al andar,embodied,Cognición encarnada,"Francisco Varela, Evan Thompson & Eleanor Rosch",The Embodied Mind,1991,Evolución y devenir,2,4,6
cuerpo-propio,Cuerpo propio,embodied,Cognición encarnada,Maurice Merleau-Ponty,Fenomenología de la percepción,1945,Cognición encarnada,4,4,8
esquema-corporal,Esquema corporal,embodied,Cognición encarnada,Maurice Merleau-Ponty,Fenomenología de la percepción,1945,Cognición encarnada,2,3,5
intencionalidad-operante,Intencionalidad operante,embodied,Cognición encarnada,Maurice Merleau-Ponty,Fenomenología de la percepción,1945,Cognición encarnada,2,4,6
cogito-tacito,Cogito tácito,embodied,Cognición encarnada,Maurice Merleau-Ponty,Fenomenología de la percepción,1945,Consciencia y experiencia,2,3,5
movimiento-generador-del-espacio,Movimiento generador del espacio,embodied,Cognición encarnada,Maurice Merleau-Ponty,Fenomenología de la percepción,1945,Cognición encarnada,0,4,4
cerebro-predictivo,Cerebro predictivo,predictive,Mente predictiva,Andy Clark,Whatever Next?,2010,Mente predictiva,5,4,9
error-de-prediccion,Error de predicción,predictive,Mente predictiva,Andy Clark,Whatever Next?,2010,Mente predictiva,2,3,5
procesamiento-jerarquico-predictivo,Procesamiento jerárquico predictivo,predictive,Mente predictiva,Andy Clark,Whatever Next?,2010,Mente predictiva,2,3,5
energia-libre-variacional,Energía libre variacional,predictive,Mente predictiva,Karl Friston,The Free-Energy Principle,2009,Mente predictiva,7,4,11
inferencia-activa,Inferencia activa,predictive,Mente predictiva,Karl Friston,The Free-Energy Principle,2009,Mente predictiva,3,5,8
ocasion-actual,Ocasión actual,proceso,Filosofía del proceso (Whitehead),Alfred North Whitehead,Process and Reality,1929,Proceso y relación,5,5,10
prehension,Prehensión,proceso,Filosofía del proceso (Whitehead),Alfred North Whitehead,Process and Reality,1929,Proceso y relación,4,4,8
concrescencia,Concrescencia,proceso,Filosofía del proceso (Whitehead),Alfred North Whitehead,Process and Reality,1929,Proceso y relación,4,4,8
creatividad,Creatividad,proceso,Filosofía del proceso (Whitehead),Alfred North Whitehead,Process and Reality,1929,Proceso y relación,4,4,8
filosofia-del-organismo,Filosofía del organismo,proceso,Filosofía del proceso (Whitehead),Alfred North Whitehead,Process and Reality,1929,Proceso y relación,6,5,11
informacion-integrada,Información integrada (Φ),iit,Información integrada (IIT),Giulio Tononi,An Information Integration Theory of Consciousness,2004,Consciencia y experiencia,4,4,8
complejo-principal,Complejo principal,iit,Información integrada (IIT),Giulio Tononi,An Information Integration Theory of Consciousness,2004,Consciencia y experiencia,1,3,4
universalismo-del-yo,Universalismo del yo (open individualism),panpsiquismo,Panpsiquismo,Arnold Zuboff,One Self: The Logic of Experience,2010,Consciencia y experiencia,3,4,7
panpsiquismo,Panpsiquismo,panpsiquismo,Panpsiquismo,William Seager (ed.),The Routledge Handbook of Panpsychism,2019,Consciencia y experiencia,4,5,9
problema-de-la-combinacion,Problema de la combinación,panpsiquismo,Panpsiquismo,William Seager (ed.),The Routledge Handbook of Panpsychism,2019,Consciencia y experiencia,2,4,6
cosmopsicismo,Cosmopsicismo,panpsiquismo,Panpsiquismo,William Seager (ed.),The Routledge Handbook of Panpsychism,2019,Consciencia y experiencia,3,4,7
pensamiento-de-la-complejidad,Pensamiento «de la Complejidad»,social,Complejidad social,Pedro Luis Sotolongo Codina & Carlos Jesús Delgado Díaz,La revolución contemporánea del saber y la complejidad social,2006,Complejidad social,4,4,8
ciencias-sociales-de-nuevo-tipo,Ciencias sociales de nuevo tipo,social,Complejidad social,Pedro Luis Sotolongo Codina & Carlos Jesús Delgado Díaz,La revolución contemporánea del saber y la complejidad social,2006,Complejidad social,3,5,8
epistemologia-hermeneutica-segundo-orden,Epistemología hermenéutica de segundo orden,social,Complejidad social,Pedro Luis Sotolongo Codina & Carlos Jesús Delgado Díaz,La revolución contemporánea del saber y la complejidad social,2006,Complejidad social,0,4,4
dialogo-de-saberes,Diálogo de saberes,social,Complejidad social,Pedro Luis Sotolongo Codina & Carlos Jesús Delgado Díaz,La revolución contemporánea del saber y la complejidad social,2006,Complejidad social,2,4,6
transdisciplinariedad,Transdisciplinariedad,social,Complejidad social,Pedro Luis Sotolongo Codina & Carlos Jesús Delgado Díaz,La revolución contemporánea del saber y la complejidad social,2006,Complejidad social,3,5,8
ambiente-como-invencion,El ambiente como invención,cybernetics,Cibernética 2do orden,Heinz von Foerster,On Constructing a Reality,1973,Organización del vivo,4,5,9
codificacion-indiferenciada,Codificación indiferenciada,cybernetics,Cibernética 2do orden,Heinz von Foerster,On Constructing a Reality,1973,Organización del vivo,2,4,6
computar-la-realidad,Computar la realidad,cybernetics,Cibernética 2do orden,Heinz von Foerster,On Constructing a Reality,1973,Conocimiento y cognición,1,5,6
doble-clausura,Doble clausura,cybernetics,Cibernética 2do orden,Heinz von Foerster,On Constructing a Reality,1973,Organización del vivo,4,6,10
imperativo-etico-constructivista,Imperativo ético constructivista,cybernetics,Cibernética 2do orden,Heinz von Foerster,On Constructing a Reality,1973,Ética,1,5,6
auto-organizacion-kauffman,Auto-organización (Kauffman),termodinamica,Termodinámica del no-equilibrio,Stuart Kauffman,At Home in the Universe,1995,Termodinámica y autoorganización,5,5,10
orden-gratis,Orden gratis,termodinamica,Termodinámica del no-equilibrio,Stuart Kauffman,At Home in the Universe,1995,Termodinámica y autoorganización,4,5,9
conjuntos-autocataliticos,Conjuntos autocatalíticos,termodinamica,Termodinámica del no-equilibrio,Stuart Kauffman,At Home in the Universe,1995,Termodinámica y autoorganización,3,4,7
borde-del-caos,Borde del caos,termodinamica,Termodinámica del no-equilibrio,Stuart Kauffman,At Home in the Universe,1995,Termodinámica y autoorganización,3,5,8
redes-booleanas,Redes booleanas,termodinamica,Termodinámica del no-equilibrio,Stuart Kauffman,At Home in the Universe,1995,Termodinámica y autoorganización,2,4,6
estructura-disipativa,Estructura disipativa,termodinamica,Termodinámica del no-equilibrio,Ilya Prigogine & Isabelle Stengers,La nueva alianza,1979,Termodinámica y autoorganización,4,6,10
lejos-del-equilibrio,Lejos del equilibrio,termodinamica,Termodinámica del no-equilibrio,Ilya Prigogine & Isabelle Stengers,La nueva alianza,1979,Termodinámica y autoorganización,3,6,9
tiempo-irreversible,Tiempo irreversible (flecha del tiempo),termodinamica,Termodinámica del no-equilibrio,Ilya Prigogine & Isabelle Stengers,La nueva alianza,1979,Proceso y relación,4,5,9
orden-por-fluctuaciones,Orden por fluctuaciones,termodinamica,Termodinámica del no-equilibrio,Ilya Prigogine & Isabelle Stengers,La nueva alianza,1979,Termodinámica y autoorganización,1,6,7
la-nueva-alianza,La nueva alianza,termodinamica,Termodinámica del no-equilibrio,Ilya Prigogine & Isabelle Stengers,La nueva alianza,1979,Complejidad social,1,5,6
